query,category,sentiment,escalation
How do I reset my password?,Refund,Negative,1
What are the billing details for last month?,Technical,Negative,0
"My internet is not working, please help.",Technical,Neutral,1
I would like a refund for the overcharge.,Technical,Neutral,0
"Your service is great, thanks for the help!",Refund,Positive,1
I want to upgrade my plan to the premium one.,Technical,Positive,0
"The website is not loading, can you help?",Technical,Negative,1
I need a technician to install the new software.,Upgrade,Neutral,0
How can I check my account balance?,Refund,Positive,1
"My account is locked, I cannot access it.",Service,Negative,0
Why did I get charged twice this month?,Service,Negative,1
Can you help me track my package?,Refund,Positive,0
I am not happy with the quality of the service.,Account,Neutral,0
How do I cancel my subscription?,Refund,Negative,1
Can I speak to a supervisor regarding my issue?,Technical,Negative,0
I would like to change my email address.,Upgrade,Positive,1
"I received a damaged product, can I get a refund?",Technical,Positive,0
Why is my internet so slow today?,Technical,Negative,0
How can I upgrade to a faster internet plan?,Feedback,Neutral,0
"I was charged incorrectly, can you explain?",Account,Positive,0
"Your service is very reliable, I’m happy with it.",Refund,Neutral,0
How can I access my invoice for last month?,Billing,Neutral,0
I want to report a fraudulent activity on my account.,Technical,Neutral,0
Your customer service is very unhelpful.,Billing,Positive,0
Can I update my shipping address?,Account,Positive,1
I’m having trouble with the Wi-Fi connection.,Upgrade,Neutral,0
How can I view my recent transactions?,Refund,Negative,0
I want to add a new feature to my account.,Feedback,Neutral,0
Can you help me with my subscription renewal?,Account,Positive,1
The technician missed the scheduled appointment.,Billing,Positive,0
Why is my account locked again?,Refund,Neutral,0
I want to speak with someone in customer support.,Technical,Negative,1
I want a refund for the payment I made last month.,Account,Neutral,0
How can I disable my account temporarily?,Billing,Negative,1
I’m experiencing issues with the website login.,Service,Negative,1
I’d like to change my payment method.,Technical,Positive,0
The support team has not been helpful at all.,Account,Neutral,0
Can I update my payment details?,Upgrade,Negative,0
"I received an incorrect bill, can I get clarification?",Technical,Neutral,1
How do I change my subscription plan?,Feedback,Positive,0
The refund process has been taking too long.,Billing,Neutral,1
I have a complaint about the recent product.,Feedback,Negative,0
Can I get a refund for the extra charges on my bill?,Refund,Positive,0
I’m not happy with the service quality.,Account,Neutral,0
What is the status of my order?,Account,Positive,0
How do I get support for a technical issue?,Refund,Positive,0
Can I get a discount on my subscription?,Upgrade,Neutral,1
I would like to file a complaint about a technician.,Upgrade,Negative,1
I’m interested in adding more services to my plan.,Refund,Positive,1
